rf_code,codepoints,name,group,subgroup,order,joypixels_file,status,reason
,1F600,grinning face,Smileys & Emotion,face-smiling,0,1f600.png,candidate,
,1F603,grinning fa,1F63E,pouting cat,Smileys & Emotion,cat-face,126,1f63e.png,excluded,appearance_variant
,1F604,grinning face with smiling eyes,Smileys & Emotion,face-smiling,2,1f604.png,candidate,
,1F601,beaming face with smiling eyes,Smileys & Emotion,face-smiling,3,1f601.png,candidate,
,1F606,grinning squinting face,Smileys & Emotion,face-smiling,4,1f606.png,candidate,
,1F605,grinning face with sweat,Smileys & Emotion,face-smiling,5,1f605.png,candidate,
,1F923,rolling on the floor laughing,Smileys & Emotion,face-smiling,6,1f923.png,candidate,
,1F602,face with tears of joy,Smileys & Emotion,face-smiling,7,1f602.png,candidate,
,1F642,slightly smiling face,Smileys & Emotion,face-smiling,8,1f642.png,candidate,
,1F643,upside-down face,Smileys & Emotion,face-smiling,9,1f643.png,candidate,
,1FAE0,melting face,Smileys & Emotion,face-smiling,10,1fae0.png,candidate,
,1F609,winking face,Smileys & Emotion,face-smiling,11,1f609.png,candidate,
,1F60A,smiling face with smiling eyes,Smileys & Emotion,face-smiling,12,1f60a.png,candidate,
,1F607,smiling face with halo,Smileys & Emotion,face-smiling,13,1f607.png,candidate,
,1F970,smiling face with hearts,Smileys & Emotion,face-affection,14,1f970.png,candidate,
,1F60D,smiling face with heart-eyes,Smileys & Emotion,face-affection,15,1f60d.png,candidate,
,1F929,star-struck,Smileys & Emotion,face-affection,16,1f929.png,candidate,
,1F618,face blowing a kiss,Smileys & Emotion,face-affection,17,1f618.png,candidate,
,1F617,1F63E,pouting cat,Smileys & Emotion,cat-face,126,1f63e.png,excluded,appearance_variant
,263A FE0,1F63E,pouting cat,Smileys & Emotion,cat-face,126,1f63e.png,excluded,appearance_variant
,1F61A,kissing face wit,1F63E,pouting cat,Smileys & Emotion,cat-face,126,1f63e.png,excluded,appearance_variant
,1F619,kissing face with smiling eyes,Smileys & Emotion,face-affection,21,1f619.png,excluded,appearance_variant
,1F972,smiling face with tear,Smileys & Emotion,face-affection,22,1f972.png,candidate,
,1F60B,face savoring food,Smileys & Emotion,face-tongue,23,1f60b.png,candidate,
,1F61B,face with tongue,Smileys & Emotion,face-tongue,24,1f61b.png,candidate,
,1F61C,winking face with tongue,Smileys & Emotion,face-tongue,25,1f61c.png,candidate,
,1F92A,zany face,Smileys & Emotion,face-tongue,26,1f92a.png,candidate,
,1F61D,squinting face with tongue,Smileys & Emotion,face-tongue,27,1f61d.png,candidate,
,1F911,money-mouth face,Smileys & Emotion,face-tongue,28,1f911.png,candidate,
,1F917,smiling face with open hands,Smileys & Emotion,face-hand,29,1f917.png,candidate,
,1F92D,face with hand over mouth,Smileys & Emotion,face-hand,30,1f92d.png,candidate,
