rf_code,codepoints,name,group,subgroup,order,status,reason
1,1F600,grinning face,Smileys & Emotion,face-smiling,0,included,
,1F603,grinning face with big eyes,Smileys & Emotion,face-smiling,1,excluded,appearance_variant
2,1F604,grinning face with smiling eyes,Smileys & Emotion,face-smiling,2,included,
3,1F601,beaming face with smiling eyes,Smileys & Emotion,face-smiling,3,included,
4,1F606,grinning squinting face,Smileys & Emotion,face-smiling,4,included,
5,1F605,grinning face with sweat,Smileys & Emotion,face-smiling,5,included,
6,1F923,rolling on the floor laughing,Smileys & Emotion,face-smiling,6,included,
7,1F602,face with tears of joy,Smileys & Emotion,face-smiling,7,included,
8,1F642,slightly smiling face,Smileys & Emotion,face-smiling,8,included,
9,1F643,upside-down face,Smileys & Emotion,face-smiling,9,included,
10,1FAE0,melting face,Smileys & Emotion,face-smiling,10,included,
11,1F609,winking face,Smileys & Emotion,face-smiling,11,included,
12,1F60A,smiling face with smiling eyes,Smileys & Emotion,face-smiling,12,included,
13,1F607,smiling face with halo,Smileys & Emotion,face-smiling,13,included,
14,1F970,smiling face with hearts,Smileys & Emotion,face-affection,14,included,
15,1F60D,smiling face with heart-eyes,Smileys & Emotion,face-affection,15,included,
16,1F929,star-struck,Smileys & Emotion,face-affection,16,included,
17,1F618,face blowing a kiss,Smileys & Emotion,face-affection,17,included,
,1F617,kissing face,Smileys & Emotion,face-affection,18,excluded,appearance_variant
,263A FE0F,smiling face,Smileys & Emotion,face-affection,19,excluded,appearance_variant
,1F61A,kissing face with closed eyes,Smileys & Emotion,face-affection,19,excluded,appearance_variant
,1F619,kissing face with smiling eyes,Smileys & Emotion,face-affection,21,excluded,appearance_variant
18,1F972,smiling face with tear,Smileys & Emotion,face-affection,22,included,
19,1F60B,face savoring food,Smileys & Emotion,face-tongue,23,included,
20,1F61B,face with tongue,Smileys & Emotion,face-tongue,24,included,
21,1F61C,winking face with tongue,Smileys & Emotion,face-tongue,25,included,
22,1F92A,zany face,Smileys & Emotion,face-tongue,26,included,
23,1F61D,squinting face with tongue,Smileys & Emotion,face-tongue,27,included,
24,1F911,money-mouth face,Smileys & Emotion,face-tongue,28,included,
25,1F917,smiling face with open hands,Smileys & Emotion,face-hand,29,included,
26,1F92D,face with hand over mouth,Smileys & Emotion,face-hand,30,included,
27,1FAE2,face with open eyes and hand over mouth,Smileys & Emotion,face-hand,31,included,
28,1FAE3,face with peeking eye,Smileys & Emotion,face-hand,32,included,
29,1F92B,shushing face,Smileys & Emotion,face-hand,33,included,
30,1F914,thinking face,Smileys & Emotion,face-hand,34,included,
31,1FAE1,saluting face,Smileys & Emotion,face-hand,35,included,
32,1F910,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,36,included,
33,1F928,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,37,included,
34,1F610,neutral face,Smileys & Emotion,face-neutral-skeptical,38,included,
35,1F611,expressionless face,Smileys & Emotion,face-neutral-skeptical,39,included,
36,1F636,face without mouth,Smileys & Emotion,face-neutral-skeptical,40,included,
37,1FAE5,dotted line face,Smileys & Emotion,face-neutral-skeptical,41,included,
38,1F636 200D 1F32B FE0F,face in clouds,Smileys & Emotion,face-neutral-skeptical,42,included,zwj_sequence
39,1F60F,smirking face,Smileys & Emotion,face-neutral-skeptical,43,included,
40,1F612,unamused face,Smileys & Emotion,face-neutral-skeptical,44,included,
41,1F644,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,45,included,
42,1F62C,grimacing face,Smileys & Emotion,face-neutral-skeptical,46,included,
43,1F62E 200D 1F4A8,face exhaling,Smileys & Emotion,face-neutral-skeptical,47,included,zwj_sequence
44,1F925,lying face,Smileys & Emotion,face-neutral-skeptical,48,included,
45,1FAE8,shaking face,Smileys & Emotion,face-neutral-skeptical,49,included,
46,1F642 200D 2194 FE0F,head shaking horizontally,Smileys & Emotion,face-neutral-skeptical,50,included,zwj_sequence
47,1F642 200D 2195 FE0F,head shaking vertically,Smileys & Emotion,face-neutral-skeptical,51,included,zwj_sequence
48,1F60C,relieved face,Smileys & Emotion,face-sleepy,52,included,
49,1F614,pensive face,Smileys & Emotion,face-sleepy,53,included,
50,1F62A,sleepy face,Smileys & Emotion,face-sleepy,54,included,
51,1F924,drooling face,Smileys & Emotion,face-sleepy,55,included,
52,1F634,sleeping face,Smileys & Emotion,face-sleepy,56,included,
53,1FAE9,face with bags under eyes,Smileys & Emotion,face-sleepy,57,included,
54,1F637,face with medical mask,Smileys & Emotion,face-unwell,58,included,
55,1F912,face with thermometer,Smileys & Emotion,face-unwell,59,included,
56,1F915,face with head-bandage,Smileys & Emotion,face-unwell,60,included,
57,1F922,nauseated face,Smileys & Emotion,face-unwell,61,included,
58,1F92E,face vomiting,Smileys & Emotion,face-unwell,62,included,
59,1F927,sneezing face,Smileys & Emotion,face-unwell,63,included,
60,1F975,hot face,Smileys & Emotion,face-unwell,64,included,
61,1F976,cold face,Smileys & Emotion,face-unwell,65,included,
62,1F974,woozy face,Smileys & Emotion,face-unwell,66,included,
63,1F635,face with crossed-out eyes,Smileys & Emotion,face-unwell,67,included,
64,1F635 200D 1F4AB,face with spiral eyes,Smileys & Emotion,face-unwell,68,included,zwj_sequence
65,1F92F,exploding head,Smileys & Emotion,face-unwell,69,included,
66,1F920,cowboy hat face,Smileys & Emotion,face-hat,70,included,
67,1F973,partying face,Smileys & Emotion,face-hat,71,included,
68,1F978,disguised face,Smileys & Emotion,face-hat,72,included,
69,1F60E,smiling face with sunglasses,Smileys & Emotion,face-glasses,73,included,
70,1F913,nerd face,Smileys & Emotion,face-glasses,74,included,
71,1F9D0,face with monocle,Smileys & Emotion,face-glasses,75,included,
72,1F615,confused face,Smileys & Emotion,face-concerned,76,included,
73,1FAE4,face with diagonal mouth,Smileys & Emotion,face-concerned,77,included,
74,1F61F,worried face,Smileys & Emotion,face-concerned,78,included,
,1F641,slightly frowning face,Smileys & Emotion,face-concerned,79,excluded,appearance_variant
75,2639 FE0F,frowning face,Smileys & Emotion,face-concerned,80,included,
76,1F62E,face with open mouth,Smileys & Emotion,face-concerned,81,included,
77,1F62F,hushed face,Smileys & Emotion,face-concerned,82,included,
78,1F632,astonished face,Smileys & Emotion,face-concerned,83,included,
79,1F633,flushed face,Smileys & Emotion,face-concerned,84,included,
80,1F97A,pleading face,Smileys & Emotion,face-concerned,85,included,
81,1F979,face holding back tears,Smileys & Emotion,face-concerned,86,included,
82,1F626,frowning face with open mouth,Smileys & Emotion,face-concerned,87,included,
83,1F627,anguished face,Smileys & Emotion,face-concerned,88,included,
84,1F628,fearful face,Smileys & Emotion,face-concerned,89,included,
85,1F630,anxious face with sweat,Smileys & Emotion,face-concerned,90,included,
86,1F625,sad but relieved face,Smileys & Emotion,face-concerned,91,included,
87,1F622,crying face,Smileys & Emotion,face-concerned,92,included,
88,1F62D,loudly crying face,Smileys & Emotion,face-concerned,93,included,
89,1F631,face screaming in fear,Smileys & Emotion,face-concerned,94,included,
90,1F616,confounded face,Smileys & Emotion,face-concerned,95,included,
91,1F623,persevering face,Smileys & Emotion,face-concerned,96,included,
92,1F61E,disappointed face,Smileys & Emotion,face-concerned,97,included,
93,1F613,downcast face with sweat,Smileys & Emotion,face-concerned,98,included,
94,1F629,weary face,Smileys & Emotion,face-concerned,99,included,
95,1F62B,tired face,Smileys & Emotion,face-concerned,100,included,
96,1F971,yawning face,Smileys & Emotion,face-concerned,101,included,
97,1F624,face with steam from nose,Smileys & Emotion,face-negative,102,included,
